created_at,open,high,low,close,CDLABANDONEDBABY,CDL3INSIDE,CDLMORNINGSTAR,CDL3WHITESOLDIERS,CDLRISEFALL3METHODS,CDLUNIQUE3RIVER,CDLMORNINGDOJISTAR,CDLTRISTAR,CDLLADDERBOTTOM,CDLBREAKAWAY,CDLSTICKSANDWICH,CDLADVANCEBLOCK,CDLCONCEALBABYSWALL
2026-01-30 09:15:00+05:30,1135.2,1139.9,1129.4,1139.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:18:00+05:30,1140.0,1141.4,1135.9,1138.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:21:00+05:30,1138.4,1139.9,1136.3,1137.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:24:00+05:30,1136.5,1137.3,1133.1,1136.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:27:00+05:30,1137.3,1137.3,1134.1,1134.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:30:00+05:30,1134.2,1138.8,1133.0,1137.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:33:00+05:30,1138.0,1144.2,1138.0,1142.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:36:00+05:30,1142.7,1147.0,1142.7,1144.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:39:00+05:30,1145.2,1147.3,1143.6,1145.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:42:00+05:30,1145.8,1145.8,1143.8,1144.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:45:00+05:30,1145.0,1146.7,1144.4,1146.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:48:00+05:30,1146.1,1148.0,1144.3,1147.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:51:00+05:30,1147.5,1151.0,1147.4,1149.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:54:00+05:30,1149.5,1151.8,1149.3,1149.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 09:57:00+05:30,1149.9,1151.0,1148.0,1150.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:00:00+05:30,1150.1,1151.9,1149.9,1150.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:03:00+05:30,1150.4,1151.1,1146.3,1147.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:06:00+05:30,1147.7,1150.2,1147.7,1149.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:09:00+05:30,1148.5,1149.2,1148.3,1148.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:12:00+05:30,1148.3,1149.5,1148.0,1149.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:15:00+05:30,1149.3,1151.0,1148.0,1149.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:18:00+05:30,1149.3,1149.4,1145.2,1147.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:21:00+05:30,1146.2,1147.4,1145.4,1145.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:24:00+05:30,1145.4,1145.8,1144.3,1145.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:27:00+05:30,1145.0,1145.0,1144.4,1144.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:30:00+05:30,1144.9,1144.9,1142.5,1143.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:33:00+05:30,1143.5,1144.9,1142.6,1143.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:36:00+05:30,1143.3,1143.8,1141.7,1141.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:39:00+05:30,1141.9,1144.3,1141.5,1143.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:42:00+05:30,1143.4,1146.0,1141.2,1144.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:45:00+05:30,1144.7,1145.7,1144.2,1145.5,0,0,0,0,0,0,0,0,0,0,0,-100,0
2026-01-30 10:48:00+05:30,1145.5,1145.6,1145.2,1145.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:51:00+05:30,1145.5,1145.8,1145.4,1145.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:54:00+05:30,1145.5,1149.0,1145.4,1148.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 10:57:00+05:30,1148.9,1150.5,1148.0,1148.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:00:00+05:30,1147.5,1147.7,1146.6,1146.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:03:00+05:30,1146.1,1147.4,1144.9,1147.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:06:00+05:30,1147.0,1148.0,1146.8,1147.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:09:00+05:30,1147.7,1147.7,1146.0,1146.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:12:00+05:30,1146.7,1148.0,1146.2,1147.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:15:00+05:30,1147.0,1148.3,1146.6,1147.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:18:00+05:30,1147.0,1147.1,1146.6,1147.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:21:00+05:30,1147.1,1147.7,1146.5,1146.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:24:00+05:30,1146.9,1149.6,1146.5,1149.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:27:00+05:30,1150.0,1150.0,1146.0,1147.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:30:00+05:30,1147.3,1149.6,1147.0,1149.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:33:00+05:30,1149.4,1149.4,1147.9,1148.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:36:00+05:30,1148.1,1149.0,1147.2,1149.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:39:00+05:30,1149.0,1149.3,1148.4,1148.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:42:00+05:30,1148.7,1148.8,1148.1,1148.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:45:00+05:30,1148.1,1149.0,1147.6,1148.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:48:00+05:30,1148.3,1148.8,1148.0,1148.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:51:00+05:30,1148.1,1148.7,1147.4,1148.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:54:00+05:30,1148.7,1148.7,1148.0,1148.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 11:57:00+05:30,1148.3,1150.4,1148.0,1150.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:00:00+05:30,1150.5,1151.6,1149.7,1151.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:03:00+05:30,1151.0,1151.2,1147.6,1147.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:06:00+05:30,1147.6,1149.1,1146.1,1149.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:09:00+05:30,1148.9,1149.1,1148.0,1148.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:12:00+05:30,1148.5,1148.5,1147.2,1147.2,0,-100,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:15:00+05:30,1147.1,1149.0,1146.8,1147.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:18:00+05:30,1148.1,1149.0,1145.4,1148.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:21:00+05:30,1148.7,1149.2,1147.6,1148.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:24:00+05:30,1148.9,1151.0,1148.3,1150.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:27:00+05:30,1150.3,1151.5,1150.0,1151.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:30:00+05:30,1151.1,1155.0,1150.7,1154.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:33:00+05:30,1154.8,1157.3,1153.6,1156.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:36:00+05:30,1156.6,1157.9,1153.0,1153.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:39:00+05:30,1153.8,1154.5,1152.3,1152.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:42:00+05:30,1152.7,1152.7,1149.2,1149.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:45:00+05:30,1149.4,1150.0,1147.4,1148.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:48:00+05:30,1148.1,1148.5,1141.3,1142.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:51:00+05:30,1142.8,1145.0,1142.8,1144.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:54:00+05:30,1144.9,1145.1,1143.4,1144.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 12:57:00+05:30,1144.3,1145.0,1143.1,1144.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:00:00+05:30,1144.0,1144.3,1143.9,1143.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:03:00+05:30,1143.9,1144.4,1143.2,1144.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:06:00+05:30,1144.2,1144.2,1138.1,1139.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:09:00+05:30,1139.2,1139.8,1135.9,1137.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:12:00+05:30,1137.5,1138.0,1136.2,1137.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:15:00+05:30,1137.0,1137.5,1136.0,1137.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:18:00+05:30,1137.3,1137.4,1136.0,1136.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:21:00+05:30,1136.4,1137.0,1136.0,1136.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:24:00+05:30,1136.6,1138.3,1136.0,1137.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:27:00+05:30,1136.9,1137.8,1136.9,1137.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:30:00+05:30,1137.8,1137.8,1134.7,1134.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:33:00+05:30,1134.8,1135.1,1134.7,1135.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:36:00+05:30,1135.1,1136.0,1134.9,1135.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:39:00+05:30,1136.1,1136.2,1134.9,1135.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:42:00+05:30,1135.4,1138.8,1135.0,1137.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:45:00+05:30,1137.2,1138.5,1137.0,1137.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:48:00+05:30,1137.1,1137.2,1136.1,1136.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:51:00+05:30,1136.5,1139.2,1135.8,1138.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:54:00+05:30,1137.7,1140.3,1137.7,1140.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 13:57:00+05:30,1140.1,1141.4,1138.0,1141.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:00:00+05:30,1141.4,1142.6,1139.1,1142.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:03:00+05:30,1142.2,1143.1,1141.5,1142.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:06:00+05:30,1142.1,1142.7,1140.8,1140.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:09:00+05:30,1140.7,1141.3,1139.6,1140.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:12:00+05:30,1140.7,1142.1,1140.0,1141.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:15:00+05:30,1141.7,1142.3,1139.8,1140.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:18:00+05:30,1140.8,1142.9,1140.3,1142.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:21:00+05:30,1142.1,1142.7,1141.9,1142.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:24:00+05:30,1142.1,1142.3,1141.5,1142.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:27:00+05:30,1142.0,1142.1,1136.9,1137.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:30:00+05:30,1137.9,1138.9,1136.1,1137.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:33:00+05:30,1137.4,1137.7,1133.7,1135.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:36:00+05:30,1135.9,1137.9,1134.4,1136.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:39:00+05:30,1136.4,1137.2,1133.6,1135.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:42:00+05:30,1135.3,1135.8,1131.1,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:45:00+05:30,1133.1,1133.1,1127.1,1129.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:48:00+05:30,1129.5,1131.1,1127.6,1130.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:51:00+05:30,1130.8,1131.4,1128.2,1131.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:54:00+05:30,1131.3,1132.3,1129.1,1130.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:57:00+05:30,1130.9,1135.3,1130.6,1134.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:00:00+05:30,1134.5,1135.4,1131.1,1133.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:03:00+05:30,1133.7,1135.0,1132.6,1132.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:06:00+05:30,1132.9,1134.8,1132.2,1133.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:09:00+05:30,1134.4,1138.0,1133.3,1137.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:12:00+05:30,1137.0,1137.4,1133.5,1133.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:15:00+05:30,1133.7,1137.3,1133.3,1135.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:18:00+05:30,1135.5,1137.4,1133.9,1136.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:21:00+05:30,1136.2,1138.9,1133.3,1135.8,0,0,0,0,0,0,0,0,0,0,0,0,0
